key,vector,model,comb,real
chemical burn,0.8730466714857466,0.74,0.37733755766820526,True
severe burn,0.42702558636665344,0.01,0.10223273158377766,False
burn intoxication inhalation,0.38817957043647766,0.03,0.09782411170403263,False
fire,0.26180392503738403,0.03,0.068261248938435,False
cardiopulmonary,0.23991326987743378,0.05,0.0678189708487432,False
hemorrhage,0.26239994168281555,0.02,0.06606138939680321,False
food poisoning,0.20504142343997955,0.02,0.05264359835094122,False
choking,0.16679741442203522,0.0,0.039018665793104666,False
sting,0.15190370380878448,0.0,0.035534602692658464,False
electrocution,0.14484940469264984,0.0,0.03388440121579019,False
hypoglycemia,0.14143133163452148,0.0,0.0330848165773013,False
epilepsy,0.11241856962442398,0.0,0.026297905230207138,False
chemical burn,0.2380562126636505,0.65,0.33004373763494393,True
severe burn,0.3748521539373746,0.04,0.15417870344121576,False
food poisoning,0.18421271443367004,0.01,0.07217864055661274,False
sting,0.18388144671916962,0.0,0.06833905229364275,False
hemorrhage,0.15708975493907928,0.0,0.05838199105520798,False
cardiopulmonary,0.15536995232105255,0.0,0.05774283097057166,False
choking,0.13073015213012695,0.0,0.04858551453764069,False
hypoglycemia,0.12250657379627228,0.0,0.04552924344653678,False
electrocution,0.11474208533763885,0.0,0.042643591890736736,False
epilepsy,0.11175855249166489,0.0,0.04153476981641291,False
burn intoxication inhalation,0.11126932501792908,0.0,0.0413529497225011,False
fire,0.10625388473272324,0.0,0.03948897463397689,False
chemical burn,0.974045494219468,0.93,0.369657366575765,True
severe burn,0.7103916844071145,0.12,0.1612148471327262,False
burn intoxication inhalation,0.5292206361214248,0.02,0.10662741758748705,False
electrocution,0.3640879389598685,0.13,0.09592378277054976,False
fire,0.21950672566890717,0.01,0.044557155845151186,False
sting,0.2139081209897995,0.01,0.04347022516599424,False
food poisoning,0.1928819715976715,0.0,0.037446711172185045,False
choking,0.17657123506069183,0.0,0.034280093602659656,False
hypoglycemia,0.15295591950416565,0.0,0.029695342142684846,False
hemorrhage,0.14350633323192596,0.0,0.0278607698138033,False
cardiopulmonary,0.13756299018859863,0.0,0.026706910546930373,False
epilepsy,0.11619971692562103,0.0,0.022559377644063454,False
chemical burn,0.5327710339928355,0.29,0.2028421564957323,True
burn intoxication inhalation,0.3748740553855896,0.08,0.1121425408969558,False
severe burn,0.38129091262817383,0.04,0.1038631085672105,False
food poisoning,0.28215116262435913,0.13,0.10160983697157751,False
fire,0.2507949471473694,0.14,0.09634477461161861,False
hypoglycemia,0.32808828353881836,0.06,0.09567748631319294,False
